asn,network_type,network_name
133977,Cable/DSL/ISP,Cyber Cloud Shield Broadband Services Pvt. Ltd.
56890,Route Server,DE-CIX Dusseldorf Route Servers
62499,Route Server,DE-CIX Dallas Route Servers
48804,Content,GlobalSign
48239,Cable/DSL/ISP,IT-TV
290,Enterprise,Interop Show Network
45785,Content,TECHAVENUE Malaysia
63916,Cable/DSL/ISP,IPTELECOM GLOBAL
199118,Content,Heinlein Support
203409,Cable/DSL/ISP,"Nawafeth Al-hadhara for Internet and Information Systems Co.,Ltd Edit"
47493,Cable/DSL/ISP,WMS
25914,Cable/DSL/ISP,Quadro Communcations
27618,Cable/DSL/ISP,QuickStream Internet
47748,NSP,Daticum
28576,NSP,Itibr
61579,Cable/DSL/ISP,PGNet Provedor
262784,Cable/DSL/ISP,SATURNO COMUNICAÇÕES
394256,NSP,Tech Futures Interactive Inc.
263578,Cable/DSL/ISP,FacNet Telecom
263516,Cable/DSL/ISP,Plis Inteligência em Tecnologia Ltda.
265214,Non-Profit,RENATO ANTONIO DA SILVA ME
8387,NSP,T-Systems Austria GesmbH
33779,Cable/DSL/ISP,Wataniya Telecom Algerie
61283,Enterprise,Andrew Millar Ltd
43037,Content,"Seznam.cz, a.s."
26415,NSP,VeriSign Global Registry Services
262216,Cable/DSL/ISP,TELCONET S A
132323,Cable/DSL/ISP,PERFECT INTERNET PVT LTD
31970,Content,Livestream
6128,Cable/DSL/ISP,Cablevision Systems Corporation
133676,Cable/DSL/ISP,Precious netcom
8757,NSP,"NSFOCUS, Inc."
36131,Content,PageBites
134139,Cable/DSL/ISP,Harbour ISP Pty LTD
59626,Enterprise,Conscia A/S
55270,Cable/DSL/ISP,"Quik, LLC"
264590,Cable/DSL/ISP,NAVEX TELECOM
23634,Non-Profit,E-DNS-JP
393552,Cable/DSL/ISP,Longmont Power & Communications
58507,Cable/DSL/ISP,Wireline
201263,Content,BR-IX CDN
20474,Cable/DSL/ISP,NCI Data.com
21632,Cable/DSL/ISP,Grizzly Broadband LLC
134629,Content,"Awan Media Semesta, PT"
21889,Cable/DSL/ISP,Rapid Systems Corporation
42978,Cable/DSL/ISP,Patrick Velder (zrh1)
134325,Cable/DSL/ISP,Jetspot Networks
25248,NSP,Radiokomunikace
30999,Cable/DSL/ISP,Emtel
134869,Cable/DSL/ISP,DHL Broadband Net P Limited
15964,Network Services,CAMTEL
61317,Content,Hivelocity Inc. fka Digital Energy Technologies Limited (Global)
44880,NSP,noris network Asia
41549,Cable/DSL/ISP,Elektrizitaets- und Wasserwerk der Stadt Buchs SG
8151,Network Services,Uninet S.A. de C.V.
47866,Cable/DSL/ISP,iBrowse SARL
3329,Cable/DSL/ISP,VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA
8769,Enterprise,IT-Total
9946,Cable/DSL/ISP,KCTV JEJU BROADCASTING
21021,NSP,Multimedia Polska S.A.
32717,Cable/DSL/ISP,SNET ANGOLA
42961,Cable/DSL/ISP,Zain KW
12177,Cable/DSL/ISP,"ETS TELEPHONE COMPANY, INC."
278,Educational/Research,Universidad Nacional Autonoma de Mexico
43139,Cable/DSL/ISP,Maximum-Net
263049,Cable/DSL/ISP,NIPPONTEC TELECOMUNICACOES
61327,Cable/DSL/ISP,MTX Connect
9244,Cable/DSL/ISP,DYX TECHNOLOGY PTE. LTD.
203882,Network Services,EVOK
56268,Cable/DSL/ISP,Northeast Dataa Network
135305,Cable/DSL/ISP,NexLogic Transit Network
395078,NSP,WiFitz
37673,Cable/DSL/ISP,Telemasters
37546,Cable/DSL/ISP,MIA Telecoms
263703,Cable/DSL/ISP,"CORPORACION VNET, C.A."
133421,Cable/DSL/ISP,Innet Solutions
51164,Enterprise,Knowit Solutions Oy
264278,Cable/DSL/ISP,MICROTELL (MELL).
395080,Enterprise,WatIX
60095,Cable/DSL/ISP,Ufanet Nizhniy Novgorod Branch
12929,NSP,Telia Norge (mobile)
37901,Cable/DSL/ISP,NIPPON TELEGRAPH AND TELEPHONE EAST CORPORATION
203968,Content,aiticon
46652,Content,ServerStack
52974,Cable/DSL/ISP,Henet Telecomunicacoes Ltda
62567,Content,DigitalOcean (Private Network Interconnect)
262993,Cable/DSL/ISP,CNX TELECOMUNICACOES LTDA
22298,NSP,Xlitt
52692,Cable/DSL/ISP,AGNET BANDA LARGA
393350,Enterprise,TELTRUST
394514,Enterprise,"Car Toys, Inc."
262841,Cable/DSL/ISP,M.A. Informática Ltda.
48793,Route Server,DE-CIX Madrid Route Servers
264062,Cable/DSL/ISP,MIRAGE TECNOLOGIA
40041,Enterprise,WIREDRIVE
33662,Cable/DSL/ISP,Comcast - Houston
7015,Cable/DSL/ISP,Comcast - New England
43191,Content,Providus DOO
32808,Cable/DSL/ISP,Utah Broadband LLC
262661,Cable/DSL/ISP,Linknet
203459,Cable/DSL/ISP,AL-MARAJ AL-ALAMIYA Co.
18004,NSP,SMARTFREN TELECOM Tbk
55666,Cable/DSL/ISP,PT Media Sarana Data (GMEDIA)
327692,Cable/DSL/ISP,SMILE Communications Tanzania
22549,Cable/DSL/ISP,PBX-Change
264555,Enterprise,TECCLOUD SERVIÇOS DE TECNOLOGIA AHU LTDA.
12305,Cable/DSL/ISP,G9
264400,Cable/DSL/ISP,VIDEOSAT SERVICOS DE INFORMATICA
52260,Cable/DSL/ISP,National Telecom S.A (NATCOM S.A)
264887,Cable/DSL/ISP,Voar Telecomunicações
200921,Content,Bitskin GmbH
27216,Cable/DSL/ISP,Air Advantage LLC
58668,NSP,BDLink Communication Limited
21523,NSP,leasenet
50333,Cable/DSL/ISP,Z.U.H. ELEKTRON s.c.
51184,Cable/DSL/ISP,fonira Telekom
7175,NSP,aussie.net
4796,Educational/Research,Institut Teknologi Bandung
33491,Cable/DSL/ISP,Comcast - Chicago
33651,Cable/DSL/ISP,Comcast - SFBA
33650,Cable/DSL/ISP,Comcast - Seattle
33657,Cable/DSL/ISP,Comcast - Baltimore and D.C.
7725,Cable/DSL/ISP,Comcast - Atlanta
20214,Cable/DSL/ISP,Comcast - Miami/Pompano
33652,Cable/DSL/ISP,Comcast - Denver
7016,Cable/DSL/ISP,Comcast - Pittsburgh
33668,Cable/DSL/ISP,Comcast - Michigan/Detroit
33490,Cable/DSL/ISP,Comcast - Portland/Spokane
33667,Cable/DSL/ISP,Comcast - Central California
13367,Cable/DSL/ISP,Comcast - Minnesota
22909,Cable/DSL/ISP,Comcast - Nashville/Knoxville/Chatanooga
33660,Cable/DSL/ISP,Comcast - Utah
33659,Cable/DSL/ISP,Comcast - Freedom East (New Jersey)
33287,Cable/DSL/ISP,Comcast - Freedom West (Philadelphia)
21508,Cable/DSL/ISP,Comcast - Richmond
33489,Cable/DSL/ISP,Comcast - Jacksonville
22258,Cable/DSL/ISP,Comcast - Memphis
33661,Cable/DSL/ISP,Comcast - West Florida
33654,Cable/DSL/ISP,Comcast - Albuquerque
33666,Cable/DSL/ISP,Comcast - Tallahassee (North Gulf)
33665,Cable/DSL/ISP,Comcast - Augusta
33655,Cable/DSL/ISP,Comcast - Independence
33653,Cable/DSL/ISP,Comcast - Pima
33656,Cable/DSL/ISP,Comcast - Little Rock
198913,Content,Babiel
197440,Non-Profit,Anycast ccTLD .it
262149,Cable/DSL/ISP,Sistemas Fratec S.A.
11827,Educational/Research,Washington State University
20559,Enterprise,Fundaments
15955,Cable/DSL/ISP,SupraNet
42162,Cable/DSL/ISP,QualityNet
133590,Cable/DSL/ISP,Wow Solutions and Systems Pvt Ltd
394594,Route Server,IX-Denver Route Servers
394744,Educational/Research,Randolph-Macon College
199957,Educational/Research,Nathan-Net
328001,Cable/DSL/ISP,Satellite Software
394163,Cable/DSL/ISP,Cloud Xpress
62172,Content,Neonix
198722,Cable/DSL/ISP,TxRx Communications
39288,Cable/DSL/ISP,Nette
25961,Cable/DSL/ISP,Alyrica Networks
55699,Cable/DSL/ISP,Starnet
264509,Cable/DSL/ISP,CONECTA AMAZONIA TELECOM
262408,Cable/DSL/ISP,CEPAIN - C2 TELECOM
62904,Content,Eonix N.A. Region
133724,Cable/DSL/ISP,Swastik Internet and Cables
263500,NSP,BIGLINE TECNOLOGIA
31214,Cable/DSL/ISP,TIS Dialog
61580,Non-Profit,NIC.br - OpenCDN
23140,Educational/Research,Universidad de Chile
3853,Cable/DSL/ISP,Whidbey Telephone Company
52999,NSP,START
7235,Cable/DSL/ISP,LanMinds
203112,Enterprise,"Hearts On Fire Company, LLC"
52314,Educational/Research,UNNOBA
200548,Content,webhoster.de
32489,Cable/DSL/ISP,Amanah Tech
36986,Cable/DSL/ISP,Africom
133713,Cable/DSL/ISP,SWIFTNET BROADBAND
61098,Content,Akenes
18683,NSP,Midwest Fiber Networks
38197,NSP,Sun Network (Hong Kong) Limited
262272,Cable/DSL/ISP,FIT Telecom
54661,Enterprise,Ellie Mae West
263009,NSP,FORTE TELECOM LTDA.
327979,Cable/DSL/ISP,DIAMATRIX
28635,Cable/DSL/ISP,Younet Internet
44065,Cable/DSL/ISP,NETAIR
43073,Network Services,Danar Wojtysiak
262725,Cable/DSL/ISP,RG SILVEIRA LTDA
263567,Cable/DSL/ISP,FiberOne
24835,NSP,Vodafone Egypt
63602,Route Server,China Internet Exchange(CNIX) Route Servers
40263,Content,BearCloud
264606,Cable/DSL/ISP,ENLACEVISION
37634,NSP,ITEC Communications Pty Ltd
263083,Non-Profit,Fundacao Parque Tecnologico Itaipu - Brasil
61397,Cable/DSL/ISP,Stay Connected
19429,Cable/DSL/ISP,ETB - Colombia
8631,Route Server,MSK-IX Moscow Route Servers
61845,Cable/DSL/ISP,GRD Telecomunicações Ltda
12212,NSP,Ravand Cybertech
263353,Cable/DSL/ISP,YARA DOS SANTOS BARREIRO
9161,Cable/DSL/ISP,Poundbury Systems Ltd
393225,Non-Profit,ARIN-PFS-IAD
393220,Non-Profit,ARIN-PFS-SJC
394018,Non-Profit,ARIN-PFS-SEA
53535,Non-Profit,ARIN Operations Anycast
15510,Content,CWCS Managed Hosting
262666,Enterprise,Estabilis
132165,NSP,Connect Communications
52993,Cable/DSL/ISP,VER TV COMUNICAÇÕES
262503,NSP,WIKI TELECOMUNICAÇÕES
199571,Content,EASTER-EGGS
264420,Cable/DSL/ISP,Jobson Luis Melo de Negreiros ME
17457,Content,Yahoo! AS17457
35617,Cable/DSL/ISP,AIR2BITE
49917,Route Server,LSIX IX Route Servers
19804,NSP,VIRTELA-NET-VVAVIE1
203329,NSP,NTT Global Data Centers
26223,Cable/DSL/ISP,Silver Star Communications
24324,Cable/DSL/ISP,Kordia
134866,Cable/DSL/ISP,Sscn
262317,Cable/DSL/ISP,ROS Telecom
263075,Cable/DSL/ISP,TV Cabo de Santo Anastacio
264911,Cable/DSL/ISP,Powernet Telecom AS264911
263152,Cable/DSL/ISP,Migo Telecom
28213,Cable/DSL/ISP,LCI Telecom
14543,Cable/DSL/ISP,SRT
11550,Cable/DSL/ISP,Smithville Digital
4668,NSP,LG CNS
263495,Cable/DSL/ISP,INFOSERVIC INFORMATICA TELECOMUNICAÇÃO
394893,Cable/DSL/ISP,Clair Global AS394893
60670,Cable/DSL/ISP,WideFM
52998,Educational/Research,Fundacao Assis Gurgacz
262342,NSP,WZNET TELECOM
52911,Cable/DSL/ISP,Netstore Tecnologia LTDA
27734,NSP,New Technologies Group N.V.
395129,Cable/DSL/ISP,United Electric Cooperative AS395129
52570,Cable/DSL/ISP,Techy Internet
262192,NSP,Skycorp
17828,NSP,PNG DataCo Limited
55819,Content,Campaign Monitor (55819)
18484,NSP,VIRTELA-NET-VCALAX1
18485,NSP,VIRTELA-NET-VCASJC1
18486,NSP,VIRTELA-NET-VGAATL1
18487,NSP,VIRTELA-NET-VMABOS1
18488,NSP,VIRTELA-NET-VJPTKY1
18489,NSP,VIRTELA-NET-VWASEA1
18490,NSP,VIRTELA-NET-VTXDAL1
18491,NSP,VIRTELA-NET-VILCHI1
19803,NSP,VIRTELA-NET-VNYNYC1
19806,NSP,VIRTELA-NET-VGBLON2
19808,NSP,VIRTELA-NET-VFLMIA1
19809,NSP,VIRTELA-NET-VCNHON2
24118,NSP,VIRTELA-NET-VAUSYD1
24232,NSP,Virtela Technology Services AS24232
24486,NSP,VIRTELA-NET-VMYKLM1
35953,NSP,VIRTELA-NET-VCOENG1
37991,NSP,VIRTELA-NET-VKRSOL1
38304,NSP,VIRTELA-NET-VPHMAN1
39115,NSP,VIRTELA-NET-VFRPAR1
42808,NSP,VIRTELA-NET-VNLAMS1
19807,NSP,Virtela Technology Services
19810,NSP,VIRTELA-NET-VCPTOR1
24216,NSP,VIRTELA-NET-VXIMUM1
46108,NSP,VIRTELA-NET-VBRSAO1-VRGBUE1
393417,Cable/DSL/ISP,SDN Communications
27884,NSP,CABLE COLOR
58650,Cable/DSL/ISP,"Warabi Cable Vision Co., Ltd."
131603,Cable/DSL/ISP,Worldstar Network
11430,Cable/DSL/ISP,Austin Bestline
57537,NSP,Net-D-Sign GmbH
11699,Content,UniVoIP
24689,Cable/DSL/ISP,Rosintel
53233,Cable/DSL/ISP,V2Net - Provedor de Internet
265185,Cable/DSL/ISP,VIANET LTDA ME
52575,Cable/DSL/ISP,Clara Luz Internet
21919,Route Collector,LINX NoVA Route Collectors
42864,Cable/DSL/ISP,Giganet Internet Szolgaltato
59613,Route Server,Giganet IXN - Ukrainian Backbone Networks
10430,Educational/Research,Washington State K-20 Telecommunications Network
262585,Cable/DSL/ISP,Virtual Housing Telecom
53132,NSP,Mega Grupo de Telecomunicações Ltda
28154,Cable/DSL/ISP,AR TELECOM PROVEDOR DE INTERNET
23367,NSP,Adaptive Data Networks
4755,NSP,Tata Communications AS4755
133100,Cable/DSL/ISP,Miniport
51551,NSP,Capita Networking Solutions (Updata)
59362,Cable/DSL/ISP,KS Network Ltd.
134045,Cable/DSL/ISP,Navrang Internet Services
265141,Cable/DSL/ISP,RBT Internet
64095,NSP,Blue Reach Services
24572,Content,Yahoo Japan 2
202928,Educational/Research,z-ix.net
35152,Enterprise,Network Consulting
49115,Cable/DSL/ISP,E-MAX INTERNET & IT
265198,Cable/DSL/ISP,BLUE3 INTERNET
30496,NSP,TierPoint Dallas (Managed)
36873,NSP,Airtel Networks Nigeria
3462,Cable/DSL/ISP,HiNet
393238,Cable/DSL/ISP,ImOn Communications
203125,Content,CoreRoute
263595,Cable/DSL/ISP,ALB Internet & Informatica
60781,Content,LeaseWeb Netherlands / AMS-01
201155,Enterprise,embeDD
262474,NSP,ALTERNA TELECOMUNICACOES E CONECTIVIDADE
133159,Content,Mammoth Media
264262,Cable/DSL/ISP,BOSSNET PROVEDOR DE INTERNET
52539,Cable/DSL/ISP,SBS-NET TELECOMUNICACOES
52708,Cable/DSL/ISP,Linenet Suprimentos para Informatica
9680,Cable/DSL/ISP,HiNet Service Center in U.S.A
393662,NSP,JBurgess One
264952,Cable/DSL/ISP,GSG TELECOM SERVICOS
48611,Cable/DSL/ISP,Cablestreet
265269,NSP,MEGA TELEINFORMATICA
12480,NSP,ILK Internet
38634,Content,niconico-douga
27668,Cable/DSL/ISP,ETAPA
21176,Enterprise,Engineering Ingegneria Informatica S.p.A.
393457,NSP,HCE Telecom Inc.
47631,Network Services,SIPCOM
199805,Content,UGO
8687,NSP,PPP Internetdienstleistungen
27467,NSP,TierPoint Missouri
264862,Cable/DSL/ISP,TRIANGULO NET
30028,Cable/DSL/ISP,Manitoba NetSet
264704,Cable/DSL/ISP,Conrado Cagnoli (EntreRios.NET)
265181,Cable/DSL/ISP,S1 TELECOM
135328,Cable/DSL/ISP,Tangelo
30036,Cable/DSL/ISP,Mediacom Communications
202895,Cable/DSL/ISP,TFnet
47915,Enterprise,NIXWAY
15490,Non-Profit,Shane Mc Cormack
3164,Enterprise,Astimp It Solution
328020,NSP,Gardale Solutions
132597,Content,Hong Kong Serverworks
15669,Route Server,BIX.BG Route Servers
133287,Government,Andhra Pradesh State FiberNet
12625,Enterprise,Deutsche Boerse
15814,Enterprise,Clearstream Services
201031,Cable/DSL/ISP,Smart Waves for Information Technology
264311,Cable/DSL/ISP,Plug Supernet Telecon Serviços de Informatica
55043,Enterprise,Marco Technologies 511
38541,Educational/Research,Catholic Diocese of Broken Bay
61441,Non-Profit,Cabase BRC RS
11058,Non-Profit,Cabase BUE RS
8873,Educational/Research,Wberg Networks
57555,Route Server,Community-IX Route Servers
25002,Cable/DSL/ISP,A2A SMART CITY SPA
50113,Enterprise,NTX GROUP
57860,Enterprise,Zencurity ApS
201895,Content,PatientSky Danmark
199775,Cable/DSL/ISP,Connexin Limited
23824,Content,"Future Spirits Co.,Ltd."
30992,Cable/DSL/ISP,MTN Cameroon
198126,Cable/DSL/ISP,TelandGo
263651,Cable/DSL/ISP,V. Montoro & Cia Ltda
264437,NSP,Telemac TELECOMUNICACOES
6895,NSP,ESpanix Route Servers
262794,Cable/DSL/ISP,Vero
72,Enterprise,Schlumberger Limited
197482,Content,DoubleGIS
58405,Cable/DSL/ISP,United Telecoms
263969,Cable/DSL/ISP,C-Ligue Telecom
54688,Non-Profit,Threshold Communications AS54688
57246,NSP,WellTelecom
264116,Cable/DSL/ISP,I2 Telecom
14755,NSP,MHO Networks
48257,Cable/DSL/ISP,Компьютерная информационная технология
53020,Enterprise,IDT Brasil Telecomunicaes Ltda.
10003,Cable/DSL/ISP,Ogaki Cable Television
328032,NSP,Routed Hosting
1351,Educational/Research,The University of Vermont
29504,Non-Profit,Freenet Liberec
45184,Cable/DSL/ISP,Den Digital Entertainment
263086,Cable/DSL/ISP,PBNET Telecom
263470,Cable/DSL/ISP,Internet Way
48101,Cable/DSL/ISP,Trooli
203547,NSP,NEXT2i
52797,NSP,ISH Tecnologia
394111,NSP,"Foothills Rural Telephone Cooperative Corporation, Inc."
262374,Cable/DSL/ISP,FAZZY INTERNET
328013,Cable/DSL/ISP,ISPAfrika
262908,Cable/DSL/ISP,D. A. Comercio e Servicos de Informatica
49110,Cable/DSL/ISP,FUTURE TECHNOLOGY COMPANY FOR TECHNOLOGY AND INFORMATICS SERVICES
45758,Cable/DSL/ISP,TripleT Broadband(AIS|3BB)
49673,NSP,Truenetwork RU
134555,Cable/DSL/ISP,Encoo
46446,Cable/DSL/ISP,California Telecom
23696,Cable/DSL/ISP,Asia Utama
7540,Cable/DSL/ISP,IXTech
39176,Enterprise,PACKET GEAR
262378,Cable/DSL/ISP,Compuservice Empreendimentos
37887,Route Server,MGIX Route Servers
37037,Cable/DSL/ISP,Orange Madagacar
37303,Cable/DSL/ISP,Airtel Madagascar
62068,Content,SpectraIP B.V.
201942,Cable/DSL/ISP,Soltia Consulting SL
33923,Cable/DSL/ISP,ART-COM Sp. z o.o.
52968,Cable/DSL/ISP,TECMIDIAWEB LTDA
11893,Educational/Research,Loligo Cache Systems
264229,Cable/DSL/ISP,GLOBAL FLASH TELECOM E TECNOLOGIA LTDA - ME
262546,NSP,NetCintra Telecomunicações
43995,Cable/DSL/ISP,Kabeltex
60319,Cable/DSL/ISP,Join Experience
53181,NSP,K2 Telecom e Multimidia
59889,Cable/DSL/ISP,BusinessConnect bvba
8008,Cable/DSL/ISP,Great Plains Communications LLC AS8008
262565,Network Services,CYBER INTERNET LTDA ME
264669,Cable/DSL/ISP,Tecnocomp Argentina Telecommunications S.R.L
264723,Cable/DSL/ISP,Gow Internet
24313,Educational/Research,NSW Department of Education
395126,Enterprise,Beck's Superior Hybrids
52838,NSP,WN TELECOM
35986,Cable/DSL/ISP,Allegiance Communications
36924,Cable/DSL/ISP,GVA
264972,Cable/DSL/ISP,Livecom Serv e Com de Equipamentos de inf
395097,Enterprise,PACHEZ HOLDINGS
263394,NSP,Networks Wireless Telecom
202932,NSP,Quanza
37342,Cable/DSL/ISP,Movitel
58765,Cable/DSL/ISP,B-Tel Internet pvt Ltd
394437,NSP,PS Lightwave
23640,Route Server,BBIX Route Servers
262906,Cable/DSL/ISP,URSOFT Soluções em Internet
28285,NSP,Beltrãonet Telecomunicações
263356,Cable/DSL/ISP,Conecta Net Informatica
40911,NSP,"L2Net (Synips xSP, Enguity nSP)"
45899,Cable/DSL/ISP,VNPT
9808,NSP,"China Mobile Communications Group Co., Ltd."
265007,Cable/DSL/ISP,Miranda e Siqueira Manuteno e Informtica
203570,Content,Gigahost ApS
203591,Cable/DSL/ISP,Tecno General srl
56882,Cable/DSL/ISP,"LEAST COST ROUTING TELECOM, SL"
53043,Cable/DSL/ISP,Net Vale LTDA
265231,Cable/DSL/ISP,MF TELECOM LTDA-ME
200154,Cable/DSL/ISP,IZONE LLC
20015,Cable/DSL/ISP,Netline
9598,NSP,NTT AS9598
202069,Content,Comuto
28335,Cable/DSL/ISP,MAXCOMM
327982,Enterprise,Sithabile Technology Services
198455,Content,intelligent infrastruktur
55256,Network Services,Netskope
2606,Cable/DSL/ISP,Wifiber.es
202867,Cable/DSL/ISP,Sugarnet
37542,Cable/DSL/ISP,Iclix
44941,Cable/DSL/ISP,ZAO Astrakhan Digital Television
328400,NSP,PowerCloud SP
197890,Cable/DSL/ISP,MegaServers.de
28118,Cable/DSL/ISP,Altice Dominicana
200825,Cable/DSL/ISP,MegaServers.nl
263422,Cable/DSL/ISP,AXXESS TELECOMUNICAÇÕES
56199,Enterprise,Thomax Technology Sydney #1
132895,NSP,Prodigy Communications Pty Ltd
6858,NSP,Comlink Ltd
262672,NSP,"Digirati Informatica, Servicos e Telecomunicacoes"
13807,Cable/DSL/ISP,Great Plains Communications LLC AS13807
7336,NSP,Lunavi - Orangeburg
328039,Cable/DSL/ISP,JSDAAV
265341,Cable/DSL/ISP,Pluggar Telecom
132768,Cable/DSL/ISP,Five network Broadband Solution
263573,Cable/DSL/ISP,HYPER NET TELECOMUNICACOES
263484,Cable/DSL/ISP,JE Provedor de Rede de Comunicação
132562,Cable/DSL/ISP,ZeroWorries Private Limited
36923,Cable/DSL/ISP,Swift Networks
395358,Cable/DSL/ISP,Starlight Solutions
42965,Cable/DSL/ISP,net services
35313,NSP,Infonas WLL
45686,Route Server,RouteFEED
37613,NSP,DOLPHIN TELECOMMUNICATION LIMITED
262606,Cable/DSL/ISP,MICROTELL (MELL)
20677,Cable/DSL/ISP,imos
51681,Cable/DSL/ISP,DATIUM
52938,Cable/DSL/ISP,EMA Comércio de Eletrônicos e Servicos
264949,Cable/DSL/ISP,RealLink Provedor de Internet
395354,Cable/DSL/ISP,Starry
264244,Cable/DSL/ISP,SPEED NET SERVIÇOS DE TELECOMUNICAÇOES
38793,NSP,2degrees Mobile
38714,Cable/DSL/ISP,E-Vision Internet
263526,Network Services,NEW TECNOLOGIA DA INFORMAÇÃO
264158,Cable/DSL/ISP,RQNET
61712,Cable/DSL/ISP,YUPNET TELECOMUNICACOES
3061,NSP,ProvDotNet
52878,Cable/DSL/ISP,REDE DE TELECOMUNICAÇÕES CARAJAS
135513,Cable/DSL/ISP,Anttel Communications
30633,Content,LeaseWeb USA / WDC-01
59253,Content,Leaseweb Singapore
202739,Non-Profit,routing-rocks
263329,Cable/DSL/ISP,FIBERCOM Telecomunicações
201153,Cable/DSL/ISP,Wifibytes
393445,Cable/DSL/ISP,Swift High Speed.com
24864,NSP,Raiffeisen Informatik GmbH & Co KG
13006,NSP,DID Logic
264035,NSP,PG Net Comercio de Comp. LTDA
52510,Cable/DSL/ISP,Mi Internet SpA
16284,NSP,Vodacom Business Nigeria
56484,Cable/DSL/ISP,FastIraq
264931,Cable/DSL/ISP,Net Galileu Servicos de Telecomunicação LTDA ME
37199,Cable/DSL/ISP,Vanilla
58762,Cable/DSL/ISP,Candor infosolution
264913,Cable/DSL/ISP,GOOFIBER TELECOM
327966,Cable/DSL/ISP,Bosveld Communications
262614,Educational/Research,Insper Instituto de Ensino e Pesquisa
197350,Cable/DSL/ISP,AL Zaytona
264126,Cable/DSL/ISP,SIX INTERNET
61652,Content,Webplus Informática
22023,Content,Machine Zone
4556,NSP,PacketFabric
132935,Cable/DSL/ISP,Arjun Broadband Private Limited
59077,NSP,Shanghai UCloud Information Technology
200794,Cable/DSL/ISP,Navigo s.r.l.
54769,Enterprise,Enseva
265100,NSP,FSI telecomunicacoes
56264,NSP,Tomato Web Limited
134009,Cable/DSL/ISP,JET NETCOM BROARDBAND
53635,Content,Evernote
264415,NSP,MAXIS TELECOMUNICAÇÕES
327799,Cable/DSL/ISP,VIETTEL BURUNDI
52531,NSP,DL INFORMATICA
264958,Enterprise,expresso sao miguel
262523,Cable/DSL/ISP,HELP DESK NET TELECOMUNICACOES
45684,Cable/DSL/ISP,京セラコミュニケーションシステム (Kyocera)
133164,Cable/DSL/ISP,Fiber At Home City Networks
264956,Non-Profit,Murillo Jorge Alteia
58952,NSP,Frontiir
60068,Content,CDN77
263142,Cable/DSL/ISP,Route Way Telecomunicações e Serviços
29649,Cable/DSL/ISP,Limes sp. z o.o.
14860,Cable/DSL/ISP,Smartcom Telephone
12430,Cable/DSL/ISP,Vodafone España
64255,Enterprise,Ellie Mae East
60798,Content,Servereasy Srl
395401,Non-Profit,Whitestone Power & Communications
29314,Cable/DSL/ISP,VECTRA
9342,Non-Profit,Australian Broadcasting Corporation
263346,Cable/DSL/ISP,Fonte Informática
9558,Content,PRIMECROWN TECHNOLOGIES (P) LIMITED
12709,Cable/DSL/ISP,Melita
56655,NSP,Gigahost AS
135134,Educational/Research,Soon Keat Neo
61522,Route Server,PIT Santiago - PIT Chile Route Servers
134293,Cable/DSL/ISP,Kutch Telelink
59655,Content,ForexTime
199213,Content,Hosters A/S
28211,Cable/DSL/ISP,SMO TELECOM
11714,Educational/Research,Network Nebraska
34154,Cable/DSL/ISP,Configo Systems
9607,NSP,BroadBand Tower
197524,Cable/DSL/ISP,LEONET Group GmbH
38622,Content,Edgio - AS38622 - Australia
265034,Cable/DSL/ISP,SPEEDBIT TELECOMUNICACOES LTDA - ME
51708,Educational/Research,Free University of Bozen-Bolzano
50507,Educational/Research,EURAC
395194,Cable/DSL/ISP,Stealth Broadband
33983,NSP,ARTMOTION
264124,Cable/DSL/ISP,SPEED SERVICE - INTERNET
61584,Cable/DSL/ISP,GL DUARTE MULTIMIDIA
57704,Cable/DSL/ISP,SpeedClick
30986,Cable/DSL/ISP,Scancom
59123,Content,Kakaku.com
11647,Cable/DSL/ISP,Sentex Communications
265403,Cable/DSL/ISP,JDWIRELESS
203221,Enterprise,Gaming Innovation Group
54044,Enterprise,QITX
11352,Content,iomart - North America
22080,Cable/DSL/ISP,Broadbandtech S. A.
57624,NSP,Beeks NY
264961,Cable/DSL/ISP,Webnet
41606,Cable/DSL/ISP,Logos Technologies
55429,Content,Edgio - AS55429 - India
45396,Content,Edgio - AS45396 - Korea
60261,Content,Edgio - AS60261 - UAE
23059,Content,Edgio - AS23059 - LATAM
201782,Enterprise,Make It Simple Consultoria Informatica
327952,NSP,NATCOM Development and Investment Limited
51786,Content,Patrick Velder
19310,Cable/DSL/ISP,Casair
32402,Enterprise,Tower Research Capital
26968,Cable/DSL/ISP,"PSD Professional Systems/Designs, Ltd"
21980,Enterprise,Dayco Telecom C.A
133701,Cable/DSL/ISP,Akhuratha Communications Pvt. ltd
52981,Cable/DSL/ISP,SIGA FIBRA
44757,Enterprise,Global Blue Holdings Aktiebolag
265397,NSP,R2 CONECT
15932,Cable/DSL/ISP,Telenor Global Services
61836,Cable/DSL/ISP,CYBERLAN SERVIÇOS DE TELECOMUNICAÇÕES
39179,NSP,Nasstar South Ltd
62679,Content,"Shopify, Inc"
63408,Content,"Shopify, Inc 2"
28605,Cable/DSL/ISP,Defferrari Informática
62818,Cable/DSL/ISP,Spiral Communications
17014,Cable/DSL/ISP,North Atlantic Networks
60945,Content,VeloxServ Communications (migrated to AS3170)
132115,Cable/DSL/ISP,INDINET SERVICE
135562,NSP,Nevigate Global Network (Hong Kong) Limited
